artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Girl's Day,0.0663,0.684,0.935,0.0,0.0554,-2.839,0.107,134.942,0.708,194482.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
B1A4,0.0529,0.635,0.89,0.0,0.317,-3.102,0.0831,149.972,0.504,213264.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
f(x),0.117,0.844,0.888,0.0,0.328,-1.369,0.12,118.023,0.879,191640.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
INFINITE,0.17,0.602,0.944,0.0,0.743,-3.385,0.0531,102.066,0.667,188387.0,0.0,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
INFINITE,0.188,0.58,0.9,0.0,0.498,-4.081,0.0975,93.021,0.641,220907.0,0.0,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
SISTAR,0.0261,0.75,0.944,0.0,0.416,-2.635,0.0455,128.015,0.921,201273.0,0.0,0.35,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Girl's Day,0.0437,0.71,0.877,0.0,0.295,-2.532,0.05,149.986,0.439,186253.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
SISTAR19,0.353,0.751,0.767,2.71e-06,0.289,-4.752,0.0577,89.93,0.768,196702.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
f(x),0.00431,0.769,0.966,2.93e-05,0.265,-1.484,0.0292,123.019,0.783,225787.0,1.0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
U-KISS,0.000148,0.54,0.966,0.0,0.933,-6.258,0.0578,125.979,0.64,204738.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Secret,0.036,0.695,0.961,2.83e-05,0.0116,-2.516,0.117,160.923,0.963,202109.0,0.0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Block B,0.0508,0.765,0.937,0.0,0.31,-2.563,0.094,125.918,0.901,205800.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2PM,0.0163,0.818,0.887,9.56e-05,0.113,-3.33,0.0413,124.996,0.626,197147.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
SUPER JUNIOR,0.000219,0.913,0.745,0.00208,0.0622,-2.837,0.0506,127.996,0.795,241827.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
After School,0.201,0.659,0.907,0.0,0.106,-4.525,0.0346,126.94,0.628,274756.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
MBLAQ,0.0013,0.723,0.9,0.0,0.0946,-3.363,0.0917,129.934,0.48,200556.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2NE1,0.00767,0.819,0.844,0.00834,0.056,-3.739,0.038,127.997,0.687,208731.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Rania,0.000658,0.876,0.728,0.0,0.0925,-7.354,0.0634,124.04,0.499,234815.0,0.0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MBLAQ,0.0535,0.658,0.863,0.0,0.399,-4.96,0.0651,127.042,0.796,221532.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Beast,0.223,0.665,0.866,0.0,0.373,-3.81,0.056,128.041,0.455,234587.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2NE1,0.23,0.585,0.568,0.0,0.138,-2.787,0.0271,94.874,0.391,209987.0,0.0,-0.09999999999999998,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Song Ji Eun,0.305,0.542,0.712,0.0,0.128,-4.653,0.114,169.852,0.235,230728.0,0.0,-0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
T-ARA,0.0919,0.832,0.848,2.83e-05,0.0458,-7.407,0.0545,130.004,0.901,214427.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Trouble Maker,0.0826,0.838,0.805,3.77e-06,0.0778,-2.723,0.0541,115.026,0.952,219638.0,1.0,-0.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
4Minute,0.117,0.751,0.916,0.0,0.353,-3.524,0.0606,128.067,0.692,216587.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
T-ARA,0.136,0.791,0.85,0.057,0.0788,-2.307,0.0468,114.98,0.875,197799.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
9MUSES,0.0094,0.677,0.886,0.000811,0.101,-2.709,0.0448,117.982,0.918,199576.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
INFINITE,0.0296,0.583,0.956,0.0,0.434,-4.117,0.119,130.018,0.436,211627.0,0.0,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
4Minute,0.403,0.722,0.72,0.0,0.0578,-3.531,0.0404,129.961,0.548,231549.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
KARA,0.0113,0.618,0.975,3.09e-06,0.423,-0.883,0.128,122.939,0.761,203587.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
