,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Let Me In,EXO,Let Me In,spotify:track:5e6hUjvQG2inD4Svco0PvP,2023,0.461,0.549,1,0.675,0.0,0.171,-4.964,0,0.045,84.013,0.373,197533,4,0
1,R.U.N,Suzy,R U Next? Theme Song,spotify:track:6ZRkGwxywPUmjPLglrfqlq,2023,0.11,0.496,8,0.731,0.0,0.0998,-4.922,1,0.114,177.688,0.439,194775,4,0
2,Designer,VAV,Subconscious,spotify:track:4j6eC1fspkLNV3Owy24oYA,2023,0.199,0.716,8,0.853,0.0,0.224,-2.779,1,0.0643,136.044,0.642,182707,4,0
3,Decision to leave,Gummy,Decision to leave,spotify:track:0qP6zleSUcWWlS3Q5Ikoj6,2023,0.587,0.435,7,0.6,0.0,0.128,-5.699,1,0.0434,132.001,0.129,188343,4,0
5,Hip Drive,Rovv,Hip Drive,spotify:track:6UufZnEaHVi9oHG1EEMcs6,2023,0.507,0.525,5,0.745,0.0,0.143,-4.858,1,0.0727,79.951,0.387,144750,4,0
6,Someone On You (Feat. Kid Wine),Skinny Brown,Stargaze,spotify:track:5yYpA3IqmJjZqMSwVy5nNU,2023,0.24,0.823,1,0.613,0.0,0.108,-6.12,1,0.169,98.994,0.711,176331,4,23
7,Guardian,LE SSERAFIM,BASTIONS OST Part.4,spotify:track:1hXpqrmqmlYMfpF23fb8mK,2023,0.00775,0.771,2,0.875,0.0,0.0998,-4.092,1,0.0562,150.105,0.722,158981,4,49
8,Acrobat2,Gwangil Jo,Acrobat2,spotify:track:1lr3eme5yOQOAplN5IeDyn,2023,0.248,0.509,11,0.967,0.0,0.472,-1.247,0,0.331,90.792,0.623,190213,4,31
9,Take Two,BTS,Take Two,spotify:track:5IAESfJjmOYu7cHyX557kz,2023,0.0268,0.617,7,0.589,0.0,0.378,-5.978,1,0.0345,92.991,0.566,229953,4,87
10,SHALALA,TAEYONG,SHALALA - The 1st Mini Album,spotify:track:2gAX00D7NOBKdcKbOXdpFR,2023,0.291,0.845,0,0.884,0.00129,0.173,-3.419,1,0.216,95.0,0.78,201107,4,70
11,Waterfall,U-KNOW,RACE (Original Television Soundtrack),spotify:track:5n9VpeMnT7qQfsWg8J2WM0,2023,0.593,0.6,7,0.748,0.0,0.439,-5.723,1,0.159,104.948,0.575,215213,4,31
12,JUMP,P1Harmony,HARMONY : ALL IN,spotify:track:4vTXBC7QOjEbi8DcJvCNE2,2023,0.0343,0.793,2,0.672,0.0,0.1,-5.196,1,0.061,121.004,0.573,163280,4,60
13,RISE UP,QUEENDOM PUZZLE,QUEENDOM PUZZLE RISE UP,spotify:track:32ZAKn8Qc0VGn4UmCxnR5z,2023,0.208,0.647,8,0.853,0.0,0.0878,-2.57,1,0.0372,99.958,0.416,198693,4,32
14,Juliet,AleXa,Juliet,spotify:track:0Az7joLy5fq294oh13uTgA,2023,0.227,0.62,7,0.635,0.0,0.114,-3.993,1,0.0311,117.989,0.194,223587,4,39
15,White Desert,You Chae Hoon,Impasto,spotify:track:0HV7dTKl8VPOO3NL5BbIZB,2023,0.574,0.357,8,0.541,0.0,0.163,-6.17,1,0.0373,135.181,0.213,308573,4,24
16,"Plum Blossom (Webtoon 'Return of The Blossoming Blade', Pt. 3)",Kim Yuna,"Plum Blossom (Webtoon 'Return of The Blossoming Blade', Pt. 3)",spotify:track:2oo8j9ZIUiT1WNRaZX9t7L,2023,0.0236,0.385,7,0.857,0.0,0.366,-3.166,0,0.132,83.272,0.358,187307,4,31
17,Mistakes (Never Looking Back),YUNHWAY,YUNHWAY,spotify:track:0GY6HG86ZHnv8KueOCce1I,2023,0.0079,0.581,1,0.861,3.75e-05,0.102,-5.647,1,0.124,196.032,0.399,197250,4,24
18,Wasteland,KANGDANIEL,Wasteland,spotify:track:4bml9BznT3E0sX4xpa0voN,2023,0.0752,0.568,8,0.651,0.0,0.13,-6.49,0,0.0521,147.938,0.522,182680,4,55
19,Relationship,Han Dong Geun,Relation,spotify:track:3JE3FeEDmCs0UYnG9oZ5mk,2023,0.268,0.53,2,0.697,0.0,0.0995,-3.446,1,0.0375,139.901,0.327,262827,4,26
