artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
EXO,0.461,0.549,0.675,0.0,0.171,-4.964,0.045,84.013,0.373,197533.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Suzy,0.11,0.496,0.731,0.0,0.0998,-4.922,0.114,177.688,0.439,194775.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
VAV,0.199,0.716,0.853,0.0,0.224,-2.779,0.0643,136.044,0.642,182707.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Gummy,0.587,0.435,0.6,0.0,0.128,-5.699,0.0434,132.001,0.129,188343.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Rovv,0.507,0.525,0.745,0.0,0.143,-4.858,0.0727,79.951,0.387,144750.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Skinny Brown,0.24,0.823,0.613,0.0,0.108,-6.12,0.169,98.994,0.711,176331.0,23,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
LE SSERAFIM,0.00775,0.771,0.875,0.0,0.0998,-4.092,0.0562,150.105,0.722,158981.0,49,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Gwangil Jo,0.248,0.509,0.967,0.0,0.472,-1.247,0.331,90.792,0.623,190213.0,31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
BTS,0.0268,0.617,0.589,0.0,0.378,-5.978,0.0345,92.991,0.566,229953.0,87,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
TAEYONG,0.291,0.845,0.884,0.00129,0.173,-3.419,0.216,95.0,0.78,201107.0,70,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
U-KNOW,0.593,0.6,0.748,0.0,0.439,-5.723,0.159,104.948,0.575,215213.0,31,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
P1Harmony,0.0343,0.793,0.672,0.0,0.1,-5.196,0.061,121.004,0.573,163280.0,60,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
QUEENDOM PUZZLE,0.208,0.647,0.853,0.0,0.0878,-2.57,0.0372,99.958,0.416,198693.0,32,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
AleXa,0.227,0.62,0.635,0.0,0.114,-3.993,0.0311,117.989,0.194,223587.0,39,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
You Chae Hoon,0.574,0.357,0.541,0.0,0.163,-6.17,0.0373,135.181,0.213,308573.0,24,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Kim Yuna,0.0236,0.385,0.857,0.0,0.366,-3.166,0.132,83.272,0.358,187307.0,31,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
YUNHWAY,0.0079,0.581,0.861,3.75e-05,0.102,-5.647,0.124,196.032,0.399,197250.0,24,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
KANGDANIEL,0.0752,0.568,0.651,0.0,0.13,-6.49,0.0521,147.938,0.522,182680.0,55,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
